       1853	ger
        331	Байшин
        285	fence
        251	Хашаа
        208	орон сууц
        200	baishin
        190	гэр
        158	Туул гол
        146	Хүнсний дэлгүүр
        131	Орхон гол
        130	Гэр
        124	hashaa
        115	Ger
         87	Border Mongolia - China
         84	хүнсний дэлгүүр
         76	Хаан банк
         75	Эмийн сан
         75	mongol ger
         70	Border Mongolia - Russia
         68	Хэрлэн гол
         60	Erdenetsogt-Bulgan
         59	байшин
         46	Мод
         45	Төрийн банк
         44	Катеж
         43	Цэцэрлэг
         41	Дэлгүүр
         40	Ховд гол
         39	дэлгүүр
         39	Чикой
         39	Худаг
         37	Ovoo
         36	Тоглоомын талбай
         34	Hashaa
         33	Петровис ШТС
         31	Солонгос хоолны газар
         31	Southern Route
         28	Сэлэнгэ гол
         27	Цайны газар
         27	Голомт банк
         27	track indefinite
         27	2
         26	Хараа гол
         26	Ulaangom - Tsetserleg
         26	Otgon - Tsakhir
         25	Шунхлай ШТС
         25	ШТС
         25	Сагсны талбай
         25	Онон
         25	Зогсоол
         24	хувийн сууц
         24	Энх тайваны өргөн чөлөө
         24	Идэрийн гол
         24	Граж
         23	Зам
         23	Дэлгэрмөрөн
         23	Авто зогсоол
         23	Northern Route
         22	МТ ШТС
         22	Жаргалант
         22	Булган
         22	fance
         22	1-р байр
         21	临策铁路
         21	Үсчин
         21	Хаан Банк
         21	house
         21	11
         20	Чингисийн өргөн чөлөө
         20	Uyench - Bayanzurkh bag
         20	House
         20	Ail
         19	хорооллын гудам
         19	Хас банк
         19	Завхан гол
         19	Бөхмөрөн
         18	Өлзийт
         18	лет.
         18	Түц
         18	Наран
         18	Их тойрог
         18	Заамар
         18	Дархан 50 цогцолборын усан оргил�
         18	Ger Camp
         18	1
         17	Худалдаа хөгжлийн банк
         17	Сайншанд - Чойр
         17	Ломбард
         17	Ulaan-Uul-Renchinlkhumbe
         17	3
         16	Эгийн гол
         16	Петровис
         16	Нарны зам
         16	Манлай амрах байр
         16	Бэлхийн гудамж
         16	Ulaan-Uul-Bayanzurkh
         16	Northern Road
         16	Mongol ger
         16	9
         16	4
